"flow_id,""device"",""date"",""flow"""
"5678779,""202035132"",""2024-10-02 03:59:52+01"",""0.720"""
"5678780,""202035132"",""2024-10-02 03:44:52+01"",""0.800"""
"5678781,""202035132"",""2024-10-02 03:29:52+01"",""0.840"""
"5678782,""202035132"",""2024-10-02 03:14:52+01"",""1.320"""
"5678783,""202035132"",""2024-10-02 02:59:52+01"",""1.640"""
"5678784,""202035132"",""2024-10-02 02:44:52+01"",""5.120"""
"5678785,""202035132"",""2024-10-02 02:29:52+01"",""4.680"""
"5678786,""202035132"",""2024-10-02 02:14:52+01"",""4.320"""
"5678787,""202035132"",""2024-10-02 01:59:52+01"",""0.720"""
"5678788,""202035132"",""2024-10-02 01:44:52+01"",""0.880"""
"5678789,""202035132"",""2024-10-02 01:29:52+01"",""0.880"""
"5678790,""202035132"",""2024-10-02 01:14:52+01"",""0.920"""
"5678791,""202035132"",""2024-10-02 00:59:52+01"",""1.160"""
"5678792,""202035132"",""2024-10-02 00:44:52+01"",""1.240"""
"5678793,""202035132"",""2024-10-02 00:29:52+01"",""1.240"""
"5678794,""202035132"",""2024-10-02 00:14:52+01"",""2.160"""
"5675474,""202035132"",""2024-10-01 23:59:52+01"",""3.360"""
"5675475,""202035132"",""2024-10-01 23:44:52+01"",""3.600"""
"5675476,""202035132"",""2024-10-01 23:29:52+01"",""3.320"""
"5675477,""202035132"",""2024-10-01 23:14:52+01"",""4.960"""
"5675478,""202035132"",""2024-10-01 22:59:52+01"",""5.920"""
"5675479,""202035132"",""2024-10-01 22:44:52+01"",""4.600"""
"5675480,""202035132"",""2024-10-01 22:29:52+01"",""4.920"""
"5675481,""202035132"",""2024-10-01 22:14:52+01"",""4.920"""
"5675482,""202035132"",""2024-10-01 21:59:52+01"",""3.520"""
"5675483,""202035132"",""2024-10-01 21:44:52+01"",""3.760"""
"5675484,""202035132"",""2024-10-01 21:29:52+01"",""4.040"""
"5675485,""202035132"",""2024-10-01 21:14:52+01"",""4.560"""
"5675486,""202035132"",""2024-10-01 20:59:52+01"",""4.760"""
"5675487,""202035132"",""2024-10-01 20:44:52+01"",""4.960"""
"5675488,""202035132"",""2024-10-01 20:29:52+01"",""5.960"""
"5675489,""202035132"",""2024-10-01 20:14:52+01"",""4.560"""
"5675490,""202035132"",""2024-10-01 19:59:52+01"",""5.600"""
"5675491,""202035132"",""2024-10-01 19:44:52+01"",""6.520"""
"5675492,""202035132"",""2024-10-01 19:29:52+01"",""6.760"""
"5675493,""202035132"",""2024-10-01 19:14:52+01"",""5.160"""
"5675494,""202035132"",""2024-10-01 18:59:52+01"",""5.560"""
"5675495,""202035132"",""2024-10-01 18:44:52+01"",""6.800"""
"5675496,""202035132"",""2024-10-01 18:29:52+01"",""5.080"""
"5675497,""202035132"",""2024-10-01 18:14:52+01"",""4.840"""
"5672309,""202035132"",""2024-10-01 17:59:52+01"",""5.600"""
"5672310,""202035132"",""2024-10-01 17:44:52+01"",""5.680"""
"5672311,""202035132"",""2024-10-01 17:29:52+01"",""4.680"""
"5672312,""202035132"",""2024-10-01 17:14:52+01"",""5.120"""
"5672313,""202035132"",""2024-10-01 16:59:52+01"",""6.240"""
"5672314,""202035132"",""2024-10-01 16:44:52+01"",""5.360"""
"5672315,""202035132"",""2024-10-01 16:29:52+01"",""5.280"""
"5672316,""202035132"",""2024-10-01 16:14:52+01"",""4.560"""
"5672317,""202035132"",""2024-10-01 15:59:52+01"",""4.920"""
"5672318,""202035132"",""2024-10-01 15:44:52+01"",""5.960"""
"5672319,""202035132"",""2024-10-01 15:29:52+01"",""5.000"""
"5672320,""202035132"",""2024-10-01 15:14:52+01"",""5.200"""
"5672321,""202035132"",""2024-10-01 14:59:52+01"",""5.040"""
"5672322,""202035132"",""2024-10-01 14:44:52+01"",""4.520"""
"5672323,""202035132"",""2024-10-01 14:29:52+01"",""4.360"""
"5672324,""202035132"",""2024-10-01 14:14:52+01"",""4.760"""
"5672325,""202035132"",""2024-10-01 13:59:52+01"",""5.240"""
"5672326,""202035132"",""2024-10-01 13:44:52+01"",""6.200"""
"5672327,""202035132"",""2024-10-01 13:29:52+01"",""6.600"""
"5672328,""202035132"",""2024-10-01 13:14:52+01"",""5.640"""
"5672329,""202035132"",""2024-10-01 12:59:52+01"",""6.040"""
"5672330,""202035132"",""2024-10-01 12:44:52+01"",""7.320"""
"5672331,""202035132"",""2024-10-01 12:29:52+01"",""6.440"""
"5672332,""202035132"",""2024-10-01 12:14:52+01"",""7.240"""
"5669022,""202035132"",""2024-10-01 11:59:54+01"",""7.600"""
"5669023,""202035132"",""2024-10-01 11:44:54+01"",""6.960"""
"5669024,""202035132"",""2024-10-01 11:29:54+01"",""5.560"""
"5669025,""202035132"",""2024-10-01 11:14:54+01"",""7.240"""
"5669026,""202035132"",""2024-10-01 10:59:54+01"",""6.000"""
"5669027,""202035132"",""2024-10-01 10:44:54+01"",""6.800"""
"5669028,""202035132"",""2024-10-01 10:29:54+01"",""7.000"""
"5669029,""202035132"",""2024-10-01 10:14:54+01"",""7.200"""
"5669030,""202035132"",""2024-10-01 09:59:54+01"",""5.360"""
"5669031,""202035132"",""2024-10-01 09:44:54+01"",""6.800"""
"5669032,""202035132"",""2024-10-01 09:29:54+01"",""5.880"""
"5669033,""202035132"",""2024-10-01 09:14:54+01"",""4.680"""
"5669034,""202035132"",""2024-10-01 08:59:54+01"",""6.360"""
"5669035,""202035132"",""2024-10-01 08:44:54+01"",""7.080"""
"5669036,""202035132"",""2024-10-01 08:29:54+01"",""6.400"""
"5669037,""202035132"",""2024-10-01 08:14:54+01"",""6.520"""
"5669038,""202035132"",""2024-10-01 07:59:54+01"",""6.840"""
"5669039,""202035132"",""2024-10-01 07:44:54+01"",""6.880"""
"5669040,""202035132"",""2024-10-01 07:29:54+01"",""9.280"""
"5669041,""202035132"",""2024-10-01 07:14:54+01"",""5.520"""
"5669042,""202035132"",""2024-10-01 06:59:54+01"",""4.920"""
"5669043,""202035132"",""2024-10-01 06:44:54+01"",""4.840"""
"5669044,""202035132"",""2024-10-01 06:29:54+01"",""4.320"""
"5669045,""202035132"",""2024-10-01 06:14:54+01"",""3.600"""
"5665640,""202035132"",""2024-10-01 05:59:54+01"",""2.200"""
"5665641,""202035132"",""2024-10-01 05:44:54+01"",""2.080"""
"5665642,""202035132"",""2024-10-01 05:29:54+01"",""2.080"""
"5665643,""202035132"",""2024-10-01 05:14:54+01"",""1.880"""
"5665644,""202035132"",""2024-10-01 04:59:54+01"",""2.000"""
"5665645,""202035132"",""2024-10-01 04:44:54+01"",""1.920"""
"5665646,""202035132"",""2024-10-01 04:29:54+01"",""1.880"""
"5665647,""202035132"",""2024-10-01 04:14:54+01"",""1.840"""
"5665648,""202035132"",""2024-10-01 03:59:54+01"",""1.960"""
"5665649,""202035132"",""2024-10-01 03:44:54+01"",""1.800"""
"5665650,""202035132"",""2024-10-01 03:29:54+01"",""1.840"""
"5665651,""202035132"",""2024-10-01 03:14:54+01"",""1.760"""
"5665652,""202035132"",""2024-10-01 02:59:54+01"",""2.320"""
"5665653,""202035132"",""2024-10-01 02:44:54+01"",""5.680"""
"5665654,""202035132"",""2024-10-01 02:29:54+01"",""5.160"""
"5665655,""202035132"",""2024-10-01 02:14:54+01"",""4.960"""
"5665656,""202035132"",""2024-10-01 01:59:54+01"",""1.920"""
"5665657,""202035132"",""2024-10-01 01:44:54+01"",""2.240"""
"5665658,""202035132"",""2024-10-01 01:29:54+01"",""1.960"""
