"Time","Distribuído"
2024-10-28 16:46:06,36.00
2024-10-28 16:46:06,36.00
2024-10-28 16:50:39,30.00
2024-10-28 16:50:39,30.00
2024-10-28 16:55:23,30.00
2024-10-28 16:55:23,30.00
2024-10-28 16:59:55,40.00
2024-10-28 16:59:55,40.00
2024-10-28 17:04:25,32.70
2024-10-28 17:04:25,32.70
2024-10-28 17:09:02,40.00
2024-10-28 17:09:02,40.00
2024-10-28 17:13:31,40.00
2024-10-28 17:13:31,40.00
2024-10-28 17:18:37,40.00
2024-10-28 17:18:37,40.00
2024-10-28 17:23:03,40.00
2024-10-28 17:23:03,40.00
2024-10-28 17:28:28,30.00
2024-10-28 17:28:28,30.00
2024-10-28 17:33:02,40.00
2024-10-28 17:33:02,40.00
2024-10-28 17:37:28,40.00
2024-10-28 17:37:28,40.00
2024-10-28 17:42:50,40.00
2024-10-28 17:42:50,40.00
2024-10-28 17:47:24,51.50
2024-10-28 17:47:24,51.50
2024-10-28 17:51:54,40.00
2024-10-28 17:51:54,40.00
2024-10-28 17:57:13,36.00
2024-10-28 17:57:13,36.00
2024-10-28 18:01:48,36.00
2024-10-28 18:01:48,36.00
2024-10-28 18:06:18,51.50
2024-10-28 18:06:18,51.50
2024-10-28 18:11:41,40.00
2024-10-28 18:11:41,40.00
2024-10-28 18:16:12,40.00
2024-10-28 18:16:12,40.00
2024-10-28 18:20:46,40.00
2024-10-28 18:20:46,40.00
2024-10-28 18:25:18,51.40
2024-10-28 18:25:18,51.40
2024-10-28 18:29:45,45.10
2024-10-28 18:29:45,45.10
2024-10-28 18:34:28,45.10
2024-10-28 18:34:28,45.10
2024-10-28 18:38:59,51.50
2024-10-28 18:38:59,51.50
2024-10-28 18:43:33,40.00
2024-10-28 18:43:33,40.00
2024-10-28 18:48:06,40.00
2024-10-28 18:48:06,40.00
2024-10-28 18:52:36,40.00
2024-10-28 18:52:36,40.00
2024-10-28 18:57:08,40.00
2024-10-28 18:57:08,40.00
2024-10-28 19:01:41,51.50
2024-10-28 19:01:41,51.50
2024-10-28 19:06:27,51.50
2024-10-28 19:06:27,51.50
2024-10-28 19:11:04,45.00
2024-10-28 19:11:04,45.00
2024-10-28 19:15:37,51.50
2024-10-28 19:15:37,51.50
2024-10-28 19:20:25,51.50
2024-10-28 19:20:25,51.50
2024-10-28 19:25:07,51.50
2024-10-28 19:25:07,51.50
2024-10-28 19:30:08,51.50
2024-10-28 19:30:08,51.50
2024-10-28 19:35:23,51.50
2024-10-28 19:35:23,51.50
2024-10-28 19:39:57,60.10
2024-10-28 19:39:57,60.10
2024-10-28 19:44:51,60.20
2024-10-28 19:44:51,60.20
2024-10-28 19:49:26,51.50
2024-10-28 19:49:26,51.50
2024-10-28 19:54:07,60.10
2024-10-28 19:54:07,60.10
2024-10-28 19:58:48,60.10
2024-10-28 19:58:48,60.10
2024-10-28 20:03:18,60.20
2024-10-28 20:03:18,60.20
2024-10-28 20:08:45,51.50
2024-10-28 20:08:45,51.50
2024-10-28 20:13:22,60.10
2024-10-28 20:13:22,60.10
2024-10-28 20:17:51,51.50
2024-10-28 20:17:51,51.50
2024-10-28 20:23:09,60.10
2024-10-28 20:23:09,60.10
2024-10-28 20:27:42,60.10
2024-10-28 20:27:42,60.10
2024-10-28 20:32:18,51.50
2024-10-28 20:32:18,51.50
2024-10-28 20:37:32,51.50
2024-10-28 20:37:32,51.50
2024-10-28 20:42:06,51.50
2024-10-28 20:42:06,51.50
2024-10-28 20:46:37,51.50
2024-10-28 20:46:37,51.50
2024-10-28 20:51:58,51.50
2024-10-28 20:51:58,51.50
2024-10-28 20:56:28,40.00
2024-10-28 20:56:28,40.00
2024-10-28 21:01:01,40.00
2024-10-28 21:01:01,40.00
2024-10-28 21:06:24,51.50
2024-10-28 21:06:24,51.50
2024-10-28 21:10:57,45.00
2024-10-28 21:10:57,45.00
2024-10-28 21:15:33,51.50
2024-10-28 21:15:33,51.50
2024-10-28 21:20:00,51.50
2024-10-28 21:20:00,51.50
2024-10-28 21:24:35,45.10
2024-10-28 21:24:35,45.10
2024-10-28 21:29:11,45.10
2024-10-28 21:29:11,45.10
2024-10-28 21:33:38,51.50
2024-10-28 21:33:38,51.50
2024-10-28 21:38:21,45.10
