Time,Distribuído,Month,day_of_month,day_of_week,Hour,Minute
2024-01-26 22:15:00,3.2,1,26,4,22,15
2024-01-26 22:30:00,2.8,1,26,4,22,30
2024-01-26 22:45:00,2.8,1,26,4,22,45
2024-01-26 23:00:00,2.8,1,26,4,23,0
2024-01-26 23:15:00,2.8,1,26,4,23,15
2024-01-26 23:30:00,2.4,1,26,4,23,30
2024-01-26 23:45:00,2.8,1,26,4,23,45
2024-01-27 00:00:00,2.4,1,27,5,0,0
2024-01-27 00:15:00,2.0,1,27,5,0,15
2024-01-27 00:30:00,1.6,1,27,5,0,30
2024-01-27 00:45:00,2.0,1,27,5,0,45
2024-01-27 01:00:00,1.2,1,27,5,1,0
2024-01-27 01:15:00,1.6,1,27,5,1,15
2024-01-27 01:30:00,1.2,1,27,5,1,30
2024-01-27 01:45:00,1.6,1,27,5,1,45
2024-01-27 02:00:00,1.6,1,27,5,2,0
2024-01-27 02:15:00,1.6,1,27,5,2,15
2024-01-27 02:30:00,1.2,1,27,5,2,30
2024-01-27 02:45:00,1.2,1,27,5,2,45
2024-01-27 03:00:00,1.2,1,27,5,3,0
2024-01-27 03:15:00,1.2,1,27,5,3,15
2024-01-27 03:30:00,1.2,1,27,5,3,30
2024-01-27 03:45:00,1.2,1,27,5,3,45
2024-01-27 04:00:00,1.2,1,27,5,4,0
2024-01-27 04:15:00,1.2,1,27,5,4,15
2024-01-27 04:30:00,1.2,1,27,5,4,30
2024-01-27 04:45:00,1.2,1,27,5,4,45
2024-01-27 05:00:00,1.2,1,27,5,5,0
2024-01-27 05:15:00,1.6,1,27,5,5,15
2024-01-27 05:30:00,1.2,1,27,5,5,30
2024-01-27 05:45:00,1.6,1,27,5,5,45
2024-01-27 06:00:00,1.2,1,27,5,6,0
2024-01-27 06:15:00,1.2,1,27,5,6,15
2024-01-27 06:30:00,1.6,1,27,5,6,30
2024-01-27 06:45:00,2.0,1,27,5,6,45
2024-01-27 07:00:00,2.0,1,27,5,7,0
2024-01-27 07:15:00,2.4,1,27,5,7,15
2024-01-27 07:30:00,3.2,1,27,5,7,30
2024-01-27 07:45:00,3.2,1,27,5,7,45
2024-01-27 08:00:00,4.0,1,27,5,8,0
2024-01-27 08:15:00,4.4,1,27,5,8,15
2024-01-27 08:30:00,5.2,1,27,5,8,30
2024-01-27 08:45:00,6.8,1,27,5,8,45
2024-01-27 09:00:00,6.8,1,27,5,9,0
2024-01-27 09:15:00,6.0,1,27,5,9,15
2024-01-27 09:30:00,5.2,1,27,5,9,30
2024-01-27 09:45:00,6.4,1,27,5,9,45
2024-01-27 10:00:00,6.0,1,27,5,10,0
2024-01-27 10:15:00,5.6,1,27,5,10,15
2024-01-27 10:30:00,6.0,1,27,5,10,30
2024-01-27 10:45:00,6.8,1,27,5,10,45
2024-01-27 11:00:00,6.4,1,27,5,11,0
2024-01-27 11:15:00,4.8,1,27,5,11,15
2024-01-27 11:30:00,5.2,1,27,5,11,30
2024-01-27 11:45:00,7.2,1,27,5,11,45
2024-01-27 12:00:00,6.4,1,27,5,12,0
2024-01-27 12:15:00,4.4,1,27,5,12,15
2024-01-27 12:30:00,6.0,1,27,5,12,30
2024-01-27 12:45:00,4.8,1,27,5,12,45
2024-01-27 13:00:00,5.2,1,27,5,13,0
2024-01-27 13:15:00,4.8,1,27,5,13,15
2024-01-27 13:30:00,3.6,1,27,5,13,30
2024-01-27 13:45:00,4.8,1,27,5,13,45
2024-01-27 14:00:00,4.8,1,27,5,14,0
2024-01-27 14:15:00,4.4,1,27,5,14,15
2024-01-27 14:30:00,4.8,1,27,5,14,30
